"Sneaker_name","Sneaker_url","Sneaker_img","Sneaker_title","Sneaker_title_url","Sneaker_brand","Sneaker_brand_url","Sneaker_description","Sneaker_brand_img","Sneaker_brand_img_url"
"Nike ACG Zoom Air AO (grau / gelb)","https://www.43einhalb.com/p/nike-acg-zoom-air-ao-grau-gelb-401727","https://43einhalb.com/media/242791/w/616/h/370/n/nike-ct2898-002-acg-zoom-air-ao-1.jpg","Cloud Hi (grau)","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","On","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"Nike ACG Zoom Air AO (Schwarz)","https://www.43einhalb.com/p/nike-acg-zoom-air-ao-schwarz-401701","https://43einhalb.com/media/242066/w/616/h/370/n/nike-ct2898-001-nike-acg-zoom-air-ao-1-kopie.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","Releasedate: 28.07.2020 | Online: 09:00 Uhr.
Auf ins nächste Outdoor-Abenteuer!
ACG steht für All Conditions Gear und hält, was es verspricht: Gemäß dem Motto »All conditions means all conditions« überzeugt die ACG-Kollektion tatsächlich bei allen Bedingungen. Die ACG-Reihe gibt es bereits seit 1989 und wurde mit der Idee entwickelt, Performance-Technologie in die Welt der Outdoor Sportler zu bringen, was Nike Sportswear auf jeden Fall gelungen ist!
Mit dem neuem Zoom Air AO bekommt die Nike ACG-Familie neuen Zuwachs, der vor allem mit robuster Taktion, einem weichen Tragegefühl und einem speziellem Entwässerungssystem für Wanderungen auf Trails oder im Wasser überzeugt. Ob auf dem Land oder im Wasser – Die Abflussöffnungen in der Außensohle sorgen bei jedem Schritt für ein Ablaufen des Wassers und bieten somit trockenen Tragekomfort bei gleichzeitig geringem Gewicht. On top liefert das Zoom Air-Element in der Ferse eine besonders reaktionsfreudige Dämpfung.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"Nike Blazer '77 Vintage (grün / weiß)","https://www.43einhalb.com/p/nike-blazer-77-vintage-gruen-weiss-418190","https://43einhalb.com/media/255500/w/616/h/370/n/nike-cz4609-300-blazer-mid-77-vntg-suede-mix-1.jpg","Atacama (olive / schwarz)","https://www.43einhalb.com/p/birkenstock-atacama-olive-schwarz-400724","Birkenstock","https://www.43einhalb.com/p/birkenstock-atacama-olive-schwarz-400724","Der Nike Blazer wurde bei seiner Premiere im Jahr 1972 zum sofortigen Klassiker, sowohl auf, als auch abseits des Platzes. Seinen Namen verdankt er Portlands Basketballteam, als dieses der Liga beitrat.
Der Blazer kann außerdem mit Stolz von sich behaupten, nicht nur einer der ersten Sneaker auf den Basketball-Courts der 70er zu gewesen zu sein, sondern zudem den wohl größten Nike Swoosh zu tragen, der jemals auf einem Nike Sneaker platziert wurde.
2019 war das Jahr des Blazers - Virgil Abloh und Sacai haben sich bereits die Silhouette vorgeknöpft und ihr frisches Leben eingehaucht. Für das neue Jahr hat Nike Sportswear einige weitere Releases auf Lager wie diesen grandiosen »Vintage« Release!
Der neue Blazer Mid '77 verfügt über ein Obermaterial aus grünem Suede und einem weißen Nike Swoosh. Die weiße Mittelsohle sorgt für einen Old-School-Look und lässt unser Sneakerherz höher schlagen!","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"Nike ACG Air Nasu (blau / schwarz / gelb)","https://www.43einhalb.com/p/nike-acg-air-nasu-blau-schwarz-gelb-442742","https://43einhalb.com/media/243853/w/616/h/370/n/nike-cv1779-401-acg-air-nasu-1-kopie.jpg","ACG Air Nasu (blau / schwarz / gelb)","","Nike","","Releasedate: 08.08.2020 | Online: 09:00 Uhr.
Passend für den immer näher kommenden Herbst - für uns die Outdoor Saison schlechthin - kommt der neue Nike ACG Drop in unseren Store.
ACG steht für »All-Conditions-Gear« und hält, was es verspricht. Seit dem ersten Drop im Jahr 1989 bleibt sich Nike mit der ACG Serie treu und bringt auch dieses Mal wieder Performance Technologie in die Outdoor-Welt.
Der neue Nike ACG Air Nasu wurde der gleichnamigen japanischen Stadt Nasu inspiriert, die vor allem für ihre schönen Trails bekannt ist. Der Air Nasu dieses ACG Drops vereint das beste aus vielen verschiedenen bekannten ACG Schuhen. Durch das verschweißte Upper wird die Atmungsaktivität gewährleistet und die Sohle sorgt für die optimale Traktion bei euren Outdoor-Erlebnissen.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"adidas x Human Made Rivalry (grün / gelb)","https://www.43einhalb.com/p/adidas-x-human-made-rivalry-gruen-gelb-403245","https://43einhalb.com/media/243615/w/616/h/370/n/adidas-fy1084-rivalry-human-made-1.jpg","Atacama (olive / schwarz)","https://www.43einhalb.com/p/birkenstock-atacama-olive-schwarz-400724","Birkenstock","https://www.43einhalb.com/p/birkenstock-atacama-olive-schwarz-400724","Releasedate: 06.08.2020 | Online: 00:01 Uhr.
Nigo und adidas verbindet eine langjährige Zusammenarbeit und auch dieses Jahr hat uns adidas x Human Made bereits mit einigen starken Kollabos beglückt. Zum Abschuss der Sommersaison 2020 präsentiert der Designer noch eine weitere Kollektion mit den Drei Streifen, die uns nochmal so richtig flasht.
2010 fügte der A Bathing Ape-Gründer Nigo ein weiteres Projekt zu seinem Line-Up hinzu und brachte Human Made an den Start. Der Designer, Fotograf, Kurator und Musikproduzent verwirklicht mit Human Made seine Interpretation der American Fifties, mit Stoffen, Schnitten und Logos, die der amerikanischen Workwear Tribut zollen. In seinen Designs verbindet Nigo die Funktionalität praktischer Work-Wear mit der Leichtigkeit der sich ständig weiterentwickelnden Jugendkultur.
Für den finalen Drop der SS 2020 haben sich adidas und Nigo mit dem Stan Smith, dem Campus und dem Rivalry drei wahre Klassiker vorgeknöpft und mit einem neuen Look versehen. Der adidas x Human Made Rivalry geht in drei Colorways an den Start, die allesamt mit starken Colorblocking ins Auge stechen. Der Human Made-Slogan »Gears for Futuristic Teenagers« sowie der ikonische »Heart«-Logodruck runden den auffälligen Look perfekt ab.","https://43einhalb.com/media/58939/w/240/h/158/n/58939.jpg","https://www.43einhalb.com/marken/adidas"
"HOKA ONE ONE Clifton L (beige)","https://www.43einhalb.com/p/hoka-one-one-clifton-l-beige-436256","https://43einhalb.com/media/241505/w/616/h/370/n/hoka-one-one-1117050-ttf-m-clifton-l-1.jpg","V-10 - B-MESH (beige / weiß)","https://www.43einhalb.com/p/veja-v-10%09-b-mesh-beige-weiss-392484","VEJA","https://www.43einhalb.com/p/veja-v-10%09-b-mesh-beige-weiss-392484","HOKA ONE ONE bringt eineneue Versionen von der legendären Clifton Silhouette an den Start. Der Runner ist einer der erfolgreichsten Silhouetten im Laufsortiment des irischen Sportartikelherstellers und bekommt jetzt ein Street-Style taugliches Update!
Das Upper des Schuhs kommt in einem edlen beigen Look, der sowohl auf der Straße als auch auf dem Trail eine super Figur macht. Die Leder-Overlays verleihen dem Sneaker einen lässigen Look und machen ihn absolut straßentauglich. Natürlich wurde bei dem Design nicht auf die technischen Features verzichtet: Die EVA Zwischensohle und die extra gepolsterten Plateausohle sorgen für ein angenehmes Laufgefühl, während die Leder-Overlays die nötige Stabilität garantieren.","https://43einhalb.com/media/218277/w/240/h/158/n/218277.jpg","https://www.43einhalb.com/marken/hoka-one-one"
"adidas Stan Smith (weiß / navy)","https://www.43einhalb.com/p/adidas-stan-smith-weiss-navy-427762","https://43einhalb.com/media/242591/w/616/h/370/n/adidas-cq2870-stan-smith-1.jpg","Stan Smith (weiß / navy)","","adidas","","Jeder von Euch hat ihn, seinen persönlichen »go to« Sneaker. Ein Schuh, den Du dir anziehst, ohne Dir Gedanken machen zu müssen, was dich alles über den Tag erwartet, der aber dennoch vielseitig genug erscheint, um mit jedem Outfit zu gehen. Beim Stan Smith OG passen die »go to« Sneaker Kriterien. Ein bisschen sleek, nicht besonders auffällig ist er 49 Jahre nach seinem Release noch immer so relevant wie damals. Mit dem stan kann nichts schief gehen, einfach ein cleaner Sneaker und seien wir mal ehrlich: Er gehört mit zu den besten Optionen in dieser »go to« Kategorie.
Hier kommt der adidas Stan Smith in einem weißen Colorway daher. Die navy Details auf der Zunge und im Fersenbereich, sowie das typische Stan Smith Branding in Gold runden den Look perfekt ab.","https://43einhalb.com/media/58939/w/240/h/158/n/58939.jpg","https://www.43einhalb.com/marken/adidas"
"adidas Stan Smith (weiß / rot)","https://www.43einhalb.com/p/adidas-stan-smith-weiss-rot-371672","https://43einhalb.com/media/238589/w/616/h/370/n/adidas-fw4146-stan-smith-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Jeder von Euch hat ihn, seinen persönlichen »go to« Sneaker. Ein Schuh, den Du dir anziehst, ohne Dir Gedanken machen zu müssen, was dich alles über den Tag erwartet, der aber dennoch vielseitig genug erscheint, um mit jedem Outfit zu gehen. Beim Stan Smith OG passen die »go to« Sneaker Kriterien. Ein bisschen sleek, nicht besonders auffällig ist er 49 Jahre nach seinem Release noch immer so relevant wie damals. Mit dem stan kann nichts schief gehen, einfach ein cleaner Sneaker und seien wir mal ehrlich: Er gehört mit zu den besten Optionen in dieser »go to« Kategorie.
Hier kommt der adidas Stan Smith in einem weißen Colorway daher. Die roten Details auf der Zunge, sowie die Details im Fersenbereich, wo zu lesen ist in kursiver Schrift links »Stan« und rechts »Smith« runden den Look perfekt ab.
Bock auf weitere adidas Stan Smith? Dann klickt auf unsere adidas Stan Smith Übersicht.","https://43einhalb.com/media/58939/w/240/h/158/n/58939.jpg","https://www.43einhalb.com/marken/adidas"
"adidas ZX 500 (grau / blau)","https://www.43einhalb.com/p/adidas-zx-500-grau-blau-431698","https://43einhalb.com/media/245100/w/616/h/370/n/adidas-fw4410-zx-500-1.jpg","Cloud Hi (grau)","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","On","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","Die adidas ZX-Serie ist wohl eine der bekanntesten Serien der Running Geschichte. Mehr als 22 verschiedene Modelle wurden konstruiert und entwickelt, um auf jeden Stil, unterschiedliche athletische Fähigkeiten und jedes Niveau einzugehen. adidas Originals hat die Schuhe so konzipiert, dass sie für den Einsatz in praktisch allen möglichen Terrains geeignet sind - vom Sonntagsjogger bis hin zum Langstreckenläufer. Vom adidas ZX 220 bis hin zum ZX 9000.
Der adidas ZX 500 wurde ursprünglich im Jahr 1984 als Lauf- und Geländeschuh entwickelt, heute ist er aus dem urbanen Straßenbild nicht mehr wegzudenken. Das Ziel des High-Tech-Laufschuhs war es gleichzeitig zu dämpfen, stützen und zu führen.
Hier kommt der adidas ZX 500 im grauen Coloway mit knalligen blauen – Retro at its best!","https://43einhalb.com/media/58939/w/240/h/158/n/58939.jpg","https://www.43einhalb.com/marken/adidas"
"Nike SB Zoom Janoski Canvas RM (weiß / mint)","https://www.43einhalb.com/p/nike-sb-zoom-janoski-canvas-rm-weiss-mint-376436","https://43einhalb.com/media/235422/w/616/h/370/n/nike-ar7718-104-sb-zoom-janoski-cnvs-rm-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Zusammen mit dem US-amerikanischen Skate-Profi Stefan Janoski präsentiert Nike hier den SB Zoom Stefan Janoski. Einzigartig wird die Silhouette durch ihren charakteristischen Shape, den man kaum auf anderen Silhouetten findet. Darüber hinaus vereint der Sneaker minimalistische Ästhetik mit gelungenen Colorways und ausgezeichnetem Aufprallschutz wie kein zweiter und ist daher perfekt zum Skaten geeignet. Aber eins ist klar: Auch ohne auf einem Skateboard zu stehen sehen diese Sneakers verdammt gut aus!","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"Reebok WMNS Club C Double (weiß / silber)","https://www.43einhalb.com/p/reebok-wmns-club-c-double-weiss-silber-433892","https://43einhalb.com/media/242386/w/616/h/370/n/reebok-woman-h67813-club-c-double-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Für Reebok steht Tradition und Authentizität an erster Stelle: Statt auf ausgefallene, futuristische Modelle zu setzen, bleiben die Designer von Reebok lieber ihren Wurzel treu und präsentieren mit dem Club C 85 einen schönen Klassiker aus den 80er Jahren.
Zur Freude der Retro-Fans hat sich der Sneaker optisch im Vergleich zum Vorbild von 1986 kaum verändert, an neuen technischen Features wurde allerdings nicht gesparrt! So stattet Reebok den Club C mit einer hohen EVA-Midsole für die optimale Dämpfung aus. Die klassische Gum-Außensohle sorgt für den nötigen Grip. Ein weißes Leder-Upper mit gelben Details und ein kuscheliges, weißes Frottee-Innenfutter runden den Retro-Look ab.
Die neue »Plattform«-Sohle in Kombi mit dem starken Animal-Print gefällt uns extrem gut - wir sind gespannt, was da von Reebok noch so kommt!","https://43einhalb.com/media/244388/w/240/h/158/n/244388.jpg","https://www.43einhalb.com/marken/reebok"
"New Balance MTL575MM (schwarz / rot / lila)","https://www.43einhalb.com/p/new-balance-mtl575mm-schwarz-rot-lila-407485","https://43einhalb.com/media/240265/w/616/h/370/n/nb-821601-60-2-mtl575mm-1.jpg","WL574ANA (schwarz / grau / leo)","https://www.43einhalb.com/p/new-balance-wl574ana-schwarz-grau-leo-408847","New Balance","https://www.43einhalb.com/p/new-balance-wl574ana-schwarz-grau-leo-408847","Mit dem MTL575MM bringt New Balance eine weitere Made in England Silhouette an den Start, die in gewohnter Manier durch den hochwertigen Material-Mix aus Mesh und Suede Panels besteht. Der vom Trail-Running inspirierte Colorway verfügt zu dem über mehrere auffällige 3M Details. Das schwarze und graue hier verwendete grobe Mesh garantiert Euch während des Laufens ausreichend Luftzirkulation, während die aufgesetzten roten und lilanen Suede Applikationen für zusätzliche Robustheit sorgen und den Schuh gleichzeitig optisch aufwerten. Das langlebige Vibram »Megagrip« Sohlenelement rundet den hochwertigen Runner gelungen ab.","https://43einhalb.com/media/212737/w/240/h/158/n/212737.jpg","https://www.43einhalb.com/marken/new-balance"
